费用编号,费用日期,费用类别,金额,供应商,描述
E001,2026-01-03,租金,250,主街物业,共享办公室租金
E002,2026-01-08,人工,300,内部团队,兼职运营支持
E003,2026-01-18,软件,60,云工具,报表和电商工具
E004,2026-01-26,营销,90,本地广告,一月推广活动
E005,2026-02-04,租金,250,主街物业,共享办公室租金
E006,2026-02-10,人工,340,内部团队,兼职运营支持
E007,2026-02-18,物流,180,速运服务,发货物流
E008,2026-02-22,营销,250,本地广告,二月推广活动
E009,2026-03-04,租金,250,主街物业,共享办公室租金
E010,2026-03-11,人工,350,内部团队,兼职运营支持
E011,2026-03-19,软件,60,云工具,报表和电商工具
E012,2026-03-27,营销,100,本地广告,春季促销
E013,2026-04-04,租金,250,主街物业,共享办公室租金
E014,2026-04-12,人工,360,内部团队,兼职运营支持
E015,2026-04-17,物流,160,速运服务,退货处理
E016,2026-04-24,营销,190,本地广告,获客活动
E017,2026-05-04,租金,250,主街物业,共享办公室租金
E018,2026-05-10,人工,370,内部团队,兼职运营支持
E019,2026-05-16,软件,80,云工具,新增分析插件
E020,2026-05-25,营销,130,本地广告,五月推广活动
E021,2026-06-04,租金,250,主街物业,共享办公室租金
E022,2026-06-09,人工,380,内部团队,兼职运营支持
E023,2026-06-17,物流,250,速运服务,发货物流
E024,2026-06-28,营销,240,本地广告,六月推广活动
